No ,Kode ,Title,Harga 20%,Harga Dasar,Deskripsi Pendek,,Warna ,,Bahan ,,Ukuran ,,Keterangan,,Heels,stok,Berat,Kategori,Featured Image,Gambar ,,,stock
169,SMI 202,SMI 202,194520,162100,"Warna:Htmabu,Bahan:Cordura,Ukuran:L-XL,Keterangan:,Heels:",Warna:,Htmabu,",Bahan:",Cordura,",Ukuran:",L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Pria,169.jpg,169.jpg,169,.jpg,1
170,SNW 499,SNW 499,90840,75700,"Warna:Hitam,Bahan:Ferari,Ukuran:All Size,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Ferari,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,,170.jpg,170.jpg,170,.jpg,1
171,SNW 460,SNW 460,89520,74600,"Warna:Hitam,Bahan:Ferari,Ukuran:All Size,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Ferari,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,,171.jpg,171.jpg,171,.jpg,1
172,SPP 317,SPP 317,145680,121400,"Warna:Coklat Tua,Bahan:Kulit,Ukuran:All Size,Keterangan:,Heels:",Warna:,Coklat Tua,",Bahan:",Kulit,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,,172.jpg,172.jpg,172,.jpg,1
173,SPP 330,SPP 330,85680,71400,"Warna:Coklat,Bahan:Carlit,Ukuran:All Size,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Carlit,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,,173.jpg,173.jpg,173,.jpg,1
174,SKS 318,SKS 318,157800,131500,"Warna:Putih,Bahan:Ferari,Ukuran:37x12x35,Keterangan:,Heels:",Warna:,Putih,",Bahan:",Ferari,",Ukuran:",37x12x35,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,174.jpg,174.jpg,174,.jpg,1
175,SRM 012,SRM 012,194160,161800,"Warna:Orange,Bahan:MX,Ukuran:35x17x28,Keterangan:,Heels:",Warna:,Orange,",Bahan:",MX,",Ukuran:",35x17x28,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,175.jpg,175.jpg,175,.jpg,1
176,SAP 153,SAP 153,176880,147400,"Warna:Orgdgkr,Bahan:Jeanskom,Ukuran:29x14x36,Keterangan:,Heels:",Warna:,Orgdgkr,",Bahan:",Jeanskom,",Ukuran:",29x14x36,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,176.jpg,176.jpg,176,.jpg,1
177,SKS 489,SKS 489,144480,120400,"Warna:Coklat,Bahan:Ferari,Ukuran:37x10x25,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Ferari,",Ukuran:",37x10x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,177.jpg,177.jpg,177,.jpg,1
178,SKS 690,SKS 690,145320,121100,"Warna:Abu,Bahan:Virotex,Ukuran:45x10x25,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Virotex,",Ukuran:",45x10x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,178.jpg,178.jpg,178,.jpg,1
179,SDD 492,SDD 492,143160,119300,"Warna:Abu,Bahan:Burberry,Ukuran:40x16x26,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Burberry,",Ukuran:",40x16x26,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,179.jpg,179.jpg,179,.jpg,1
180,SRM982,SRM982,137520,114600,"Warna:Maroon,Bahan:Crocodile,Ukuran:36x10x22,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Crocodile,",Ukuran:",36x10x22,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,180.jpg,180.jpg,180,.jpg,1
181,SRM 354,SRM 354,178200,148500,"Warna:Hitam,Bahan:Kyiotech,Ukuran:38x15x25,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Kyiotech,",Ukuran:",38x15x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,181.jpg,181.jpg,181,.jpg,1
182,SRM 438,SRM 438,156480,130400,"Warna:Mrnkom,Bahan:Burberry,Ukuran:32x13x25,Keterangan:,Heels:",Warna:,Mrnkom,",Bahan:",Burberry,",Ukuran:",32x13x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,182.jpg,182.jpg,182,.jpg,1
183,STE 934,STE 934,142560,118800,"Warna:Coklat Kombinasi,Bahan:Virotex,Ukuran:30x14x32,Keterangan:,Heels:",Warna:,Coklat Kombinasi,",Bahan:",Virotex,",Ukuran:",30x14x32,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,183.jpg,183.jpg,183,.jpg,1
184,SAP 175,SAP 175,170040,141700,"Warna:Biru,Bahan:Jeans,Ukuran:39x10x27,Keterangan:,Heels:",Warna:,Biru,",Bahan:",Jeans,",Ukuran:",39x10x27,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,184.jpg,184.jpg,184,.jpg,1
185,SRM 892,SRM 892,168720,140600,"Warna:Krem,Bahan:Virotex,Ukuran:37x16x28,Keterangan:,Heels:",Warna:,Krem,",Bahan:",Virotex,",Ukuran:",37x16x28,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,185.jpg,185.jpg,185,.jpg,1
186,SRM 847,SRM 847,143280,119400,"Warna:Coklat ,Bahan:Ferari,Ukuran:34x12x22,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",Ferari,",Ukuran:",34x12x22,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,186.jpg,186.jpg,186,.jpg,1
187,SAP 944,SAP 944,171720,143100,"Warna:Kuning,Bahan:Virotex,Ukuran:28x16x31,Keterangan:,Heels:",Warna:,Kuning,",Bahan:",Virotex,",Ukuran:",28x16x31,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,187.jpg,187.jpg,187,.jpg,1
188,SRM 613,SRM 613,154560,128800,"Warna:Kuning ,Bahan:Pasirkom,Ukuran:35x15x25,Keterangan:,Heels:",Warna:,Kuning ,",Bahan:",Pasirkom,",Ukuran:",35x15x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,188.jpg,188.jpg,188,.jpg,1
189,SRM 034,SRM 034,161640,134700,"Warna:Fullcolor,Bahan:Virotex,Ukuran:32x13x44,Keterangan:,Heels:",Warna:,Fullcolor,",Bahan:",Virotex,",Ukuran:",32x13x44,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,189.jpg,189.jpg,189,.jpg,1
190,SFX 228,SFX 228,129960,108300,"Warna:Cream ,Bahan:Bj,Ukuran:36x12x32,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",Bj,",Ukuran:",36x12x32,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,190.jpg,190.jpg,190,.jpg,1
191,SRM 471,SRM 471,139320,116100,"Warna:Merah,Bahan:Ferari,Ukuran:34x13x23,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Ferari,",Ukuran:",34x13x23,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,191.jpg,191.jpg,191,.jpg,1
192,SKS 712,SKS 712,150960,125800,"Warna:Abu,Bahan:Ferari,Ukuran:40x12x30,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Ferari,",Ukuran:",40x12x30,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,192.jpg,192.jpg,192,.jpg,1
193,SAP 458,SAP 458,178680,148900,"Warna:Merah,Bahan:Virotex,Ukuran:36x15x26,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Virotex,",Ukuran:",36x15x26,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,193.jpg,193.jpg,193,.jpg,1
194,SKS 549,SKS 549,155400,129500,"Warna:Coklat,Bahan:Ferari,Ukuran:39x13x24,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Ferari,",Ukuran:",39x13x24,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,194.jpg,194.jpg,194,.jpg,1
195,SRM 405,SRM 405,146160,121800,"Warna:Maroon,Bahan:Crocodile,Ukuran:20x29x13,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Crocodile,",Ukuran:",20x29x13,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,195.jpg,195.jpg,195,.jpg,1
196,SKS 790,SKS 790,144120,120100,"Warna:Kuning ,Bahan:Ferari,Ukuran:36x11x23,Keterangan:,Heels:",Warna:,Kuning ,",Bahan:",Ferari,",Ukuran:",36x11x23,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,196.jpg,196.jpg,196,.jpg,1
197,SRM 656,SRM 656,155400,129500,"Warna:Mrnkom,Bahan:Virotex,Ukuran:43x16x31,Keterangan:,Heels:",Warna:,Mrnkom,",Bahan:",Virotex,",Ukuran:",43x16x31,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,197.jpg,197.jpg,197,.jpg,1
198,STE 658,STE 658,131880,109900,"Warna:Coklat ,Bahan:Orchide,Ukuran:32x12x25,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",Orchide,",Ukuran:",32x12x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,198.jpg,198.jpg,198,.jpg,1
199,STE 269,STE 269,131040,109200,"Warna:Cream ,Bahan:Laros,Ukuran:34x10x26,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",Laros,",Ukuran:",34x10x26,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,199.jpg,199.jpg,199,.jpg,1
200,STE 728,STE 728,135840,113200,"Warna:Orange,Bahan:Kaisar,Ukuran:34x11x23,Keterangan:,Heels:",Warna:,Orange,",Bahan:",Kaisar,",Ukuran:",34x11x23,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,200.jpg,200.jpg,200,.jpg,1
201,SBL013,SBL013,115320,96100,"Warna:Coklat,Bahan:Austin,Ukuran:27x8x27,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Austin,",Ukuran:",27x8x27,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,201.jpg,201.jpg,201,.jpg,1
202,STE 804,STE 804,110040,91700,"Warna:Orgkom,Bahan:Virotex,Ukuran:29x11x20,Keterangan:,Heels:",Warna:,Orgkom,",Bahan:",Virotex,",Ukuran:",29x11x20,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,202.jpg,202.jpg,202,.jpg,1
203,STE 108,STE 108,131880,109900,"Warna:Krmkom,Bahan:Virotex,Ukuran:31x8x22,Keterangan:,Heels:",Warna:,Krmkom,",Bahan:",Virotex,",Ukuran:",31x8x22,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,203.jpg,203.jpg,203,.jpg,1
204,SFC 686 ,SFC 686 ,133440,111200,"Warna:Kuning ,Bahan:Kaisar,Ukuran:26x11x18,Keterangan:,Heels:",Warna:,Kuning ,",Bahan:",Kaisar,",Ukuran:",26x11x18,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,204.jpg,204.jpg,204,.jpg,1
205,SBL 488,SBL 488,150240,125200,"Warna:Coklat,Bahan:Virotex,Ukuran:24x15x29,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Virotex,",Ukuran:",24x15x29,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,205.jpg,205.jpg,205,.jpg,1
206,SLD 808,SLD 808,147840,123200,"Warna:Putih,Bahan:Canvas,Ukuran:30x10x30,Keterangan:,Heels:",Warna:,Putih,",Bahan:",Canvas,",Ukuran:",30x10x30,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,206.jpg,206.jpg,206,.jpg,1
207,SBL 254,SBL 254,134520,112100,"Warna:Merah,Bahan:Jecko,Ukuran:28x14x37,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Jecko,",Ukuran:",28x14x37,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,207.jpg,207.jpg,207,.jpg,1
208,SBL 174,SBL 174,155160,129300,"Warna:Coklat,Bahan:Ferari,Ukuran:30x15x40,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Ferari,",Ukuran:",30x15x40,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,208.jpg,208.jpg,208,.jpg,1
209,SBL 016,SBL 016,162480,135400,"Warna:Cream ,Bahan:Autoleader,Ukuran:30x15x34,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",Autoleader,",Ukuran:",30x15x34,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,209.jpg,209.jpg,209,.jpg,1
210,SBL 687,SBL 687,150240,125200,"Warna:Coklat Kombinasi,Bahan:Canvas,Ukuran:33x13x33,Keterangan:,Heels:",Warna:,Coklat Kombinasi,",Bahan:",Canvas,",Ukuran:",33x13x33,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,210.jpg,210.jpg,210,.jpg,1
211,SRB 545,SRB 545,143160,119300,"Warna:Putih Kombinasi,Bahan:Canvas,Ukuran:34x17x38,Keterangan:,Heels:",Warna:,Putih Kombinasi,",Bahan:",Canvas,",Ukuran:",34x17x38,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,211.jpg,211.jpg,211,.jpg,1
212,SFM 165,SFM 165,137520,114600,"Warna:Cream ,Bahan:Virotex,Ukuran:31x11x35,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",Virotex,",Ukuran:",31x11x35,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,212.jpg,212.jpg,212,.jpg,1
213,SBL 756,SBL 756,222360,185300,"Warna:Coklat,Bahan:Penelope,Ukuran:28x10x36,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Penelope,",Ukuran:",28x10x36,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,213.jpg,213.jpg,213,.jpg,1
214,SSD 966,SSD 966,140880,117400,"Warna:Hitam,Bahan:Canvas,Ukuran:34x12x34,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Canvas,",Ukuran:",34x12x34,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,214.jpg,214.jpg,214,.jpg,1
215,STE 863,STE 863,129240,107700,"Warna:Coklat ,Bahan:Virotex,Ukuran:28x11x30,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",Virotex,",Ukuran:",28x11x30,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,215.jpg,215.jpg,215,.jpg,1
216,SFC 864,SFC 864,142080,118400,"Warna:Dgkrkom,Bahan:Jeans,Ukuran:39x14x38,Keterangan:,Heels:",Warna:,Dgkrkom,",Bahan:",Jeans,",Ukuran:",39x14x38,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,216.jpg,216.jpg,216,.jpg,1
217,SFS 141,SFS 141,126960,105800,"Warna:Abu,Bahan:Canvas,Ukuran:33x13x40,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Canvas,",Ukuran:",33x13x40,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,217.jpg,217.jpg,217,.jpg,1
218,SFC 070,SFC 070,148920,124100,"Warna:Maroon,Bahan:Jacko,Ukuran:25x10x31,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Jacko,",Ukuran:",25x10x31,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,218.jpg,218.jpg,218,.jpg,1
219,SFC 786,SFC 786,131280,109400,"Warna:Abu ,Bahan:Canvas,Ukuran:30x13x37,Keterangan:,Heels:",Warna:,Abu ,",Bahan:",Canvas,",Ukuran:",30x13x37,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,219.jpg,219.jpg,219,.jpg,1
220,SSD 120,SSD 120,137280,114400,"Warna:Htmmrh,Bahan:Canvas,Ukuran:33x12x31,Keterangan:,Heels:",Warna:,Htmmrh,",Bahan:",Canvas,",Ukuran:",33x12x31,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,220.jpg,220.jpg,220,.jpg,1
221,SBL 057,SBL 057,153840,128200,"Warna:Cream ,Bahan:Galaros,Ukuran:36x12x34,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",Galaros,",Ukuran:",36x12x34,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,221.jpg,221.jpg,221,.jpg,1
222,SAP 004,SAP 004,160920,134100,"Warna:Coklat,Bahan:Suede Soft,Ukuran:34x10x31,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Suede Soft,",Ukuran:",34x10x31,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,222.jpg,222.jpg,222,.jpg,1
223,SAP 191,SAP 191,176280,146900,"Warna:Coklat,Bahan:Ferari,Ukuran:36x10x34,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Ferari,",Ukuran:",36x10x34,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,223.jpg,223.jpg,223,.jpg,1
224,SRM 609,SRM 609,153000,127500,"Warna:Kuning,Bahan:Virotex,Ukuran:36x14x30,Keterangan:,Heels:",Warna:,Kuning,",Bahan:",Virotex,",Ukuran:",36x14x30,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,224.jpg,224.jpg,224,.jpg,1
225,LIM 721,LIM 721,123240,102700,"Warna:Coklat,Bahan:Jacko,Ukuran:47x12x33,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Jacko,",Ukuran:",47x12x33,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,225.jpg,225.jpg,225,.jpg,1
226,SBL 642,SBL 642,148440,123700,"Warna:Coklat Kombinasi,Bahan:Canvas,Ukuran:30x12x24,Keterangan:,Heels:",Warna:,Coklat Kombinasi,",Bahan:",Canvas,",Ukuran:",30x12x24,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,226.jpg,226.jpg,226,.jpg,1
227,SAP 054,SAP 054,171120,142600,"Warna:Mrhcre,Bahan:Virotex,Ukuran:30x9x28,Keterangan:,Heels:",Warna:,Mrhcre,",Bahan:",Virotex,",Ukuran:",30x9x28,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,227.jpg,227.jpg,227,.jpg,1
228,SFC 905,SFC 905,129480,107900,"Warna:Mrnkom,Bahan:Orchide,Ukuran:38x13x27,Keterangan:,Heels:",Warna:,Mrnkom,",Bahan:",Orchide,",Ukuran:",38x13x27,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,228.jpg,228.jpg,228,.jpg,1
229,SFC 300,SFC 300,131040,109200,"Warna:orange,Bahan:Jackline,Ukuran:33x10x25,Keterangan:,Heels:",Warna:,orange,",Bahan:",Jackline,",Ukuran:",33x10x25,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,229.jpg,229.jpg,229,.jpg,1
230,SRB 028,SRB 028,113040,94200,"Warna:Putih Kombinasi,Bahan:Canvas,Ukuran:29x9x28,Keterangan:,Heels:",Warna:,Putih Kombinasi,",Bahan:",Canvas,",Ukuran:",29x9x28,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,230.jpg,230.jpg,230,.jpg,1
231,SRB 774,SRB 774,137760,114800,"Warna:Maroon,Bahan:Ferari,Ukuran:24x8x17,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Ferari,",Ukuran:",24x8x17,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,231.jpg,231.jpg,231,.jpg,1
232,SBL 853,SBL 853,144600,120500,"Warna:Merah,Bahan:Autoleader,Ukuran:25x8x21,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Autoleader,",Ukuran:",25x8x21,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,232.jpg,232.jpg,232,.jpg,1
233,SAL 408,SAL 408,101640,84700,"Warna:Coklat,Bahan:Spon,Ukuran:27x11x28,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Spon,",Ukuran:",27x11x28,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,233.jpg,233.jpg,233,.jpg,1
234,STE 622,STE 622,97320,81100,"Warna:Cream ,Bahan:Laros,Ukuran:26x3x15,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",Laros,",Ukuran:",26x3x15,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,234.jpg,234.jpg,234,.jpg,1
235,STE 564,STE 564,105840,88200,"Warna:Coklat,Bahan:Laros,Ukuran:26x3x17,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Laros,",Ukuran:",26x3x17,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,235.jpg,235.jpg,235,.jpg,1
236,STE 679,STE 679,99000,82500,"Warna:Kngtsc,Bahan:Virotex,Ukuran:28x5x18,Keterangan:,Heels:",Warna:,Kngtsc,",Bahan:",Virotex,",Ukuran:",28x5x18,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,236.jpg,236.jpg,236,.jpg,1
237,SGI 655,SGI 655,112800,94000,"Warna:Pink,Bahan:Penelope,Ukuran:24x8x15,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Penelope,",Ukuran:",24x8x15,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,237.jpg,237.jpg,237,.jpg,1
238,STV 217,STV 217,93360,77800,"Warna:Coklat Tua,Bahan:De Kom,Ukuran:23x6x11,Keterangan:,Heels:",Warna:,Coklat Tua,",Bahan:",De Kom,",Ukuran:",23x6x11,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,238.jpg,238.jpg,238,.jpg,1
239,SAL 604,SAL 604,83640,69700,"Warna:Coklat Tua,Bahan:De Kom,Ukuran:23x6x11,Keterangan:,Heels:",Warna:,Coklat Tua,",Bahan:",De Kom,",Ukuran:",23x6x11,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,239.jpg,239.jpg,239,.jpg,1
240,SGI 428,SGI 428,92160,76800,"Warna:Cream ,Bahan:De Kom,Ukuran:23x5x13,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",De Kom,",Ukuran:",23x5x13,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,240.jpg,240.jpg,240,.jpg,1
241,SGI 343,SGI 343,112608,93840,"Warna:Cream ,Bahan:De Kom,Ukuran:24x9x15,Keterangan:,Heels:",Warna:,Cream ,",Bahan:",De Kom,",Ukuran:",24x9x15,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,241.jpg,241.jpg,241,.jpg,1
242,SFL 476,SFL 476,100944,84120,"Warna:Coklat,Bahan:Pvc,Ukuran:20x2x10,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Pvc,",Ukuran:",20x2x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,242.jpg,242.jpg,242,.jpg,1
243,SPT 042,SPT 042,95184,79320,"Warna:Coklat ,Bahan:CanvasKom,Ukuran:19x2x10,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",CanvasKom,",Ukuran:",19x2x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,243.jpg,243.jpg,243,.jpg,1
244,SPT 823,SPT 823,101376,84480,"Warna:Maroon,Bahan:Pvc,Ukuran:20x4x10,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Pvc,",Ukuran:",20x4x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,244.jpg,244.jpg,244,.jpg,1
245,SAP 932,SAP 932,144576,120480,"Warna:Htmcre,Bahan:Pvc,Ukuran:22x3x11,Keterangan:,Heels:",Warna:,Htmcre,",Bahan:",Pvc,",Ukuran:",22x3x11,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,245.jpg,245.jpg,245,.jpg,1
246,SPT 123,SPT 123,82800,69000,"Warna:Pink ,Bahan:Spon Prada,Ukuran:19x3x10,Keterangan:,Heels:",Warna:,Pink ,",Bahan:",Spon Prada,",Ukuran:",19x3x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,246.jpg,246.jpg,246,.jpg,1
247,SFL 826,SFL 826,98784,82320,"Warna:Coklat,Bahan:Canvas,Ukuran:20x3x10,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Canvas,",Ukuran:",20x3x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,247.jpg,247.jpg,247,.jpg,1
248,SFL 803,SFL 803,103104,85920,"Warna:Coklat ,Bahan:Canvas,Ukuran:18x2x10,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",Canvas,",Ukuran:",18x2x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,248.jpg,248.jpg,248,.jpg,1
249,SAP 138,SAP 138,130032,108360,"Warna:Ungu ,Bahan:CanvasKom,Ukuran:22x2x12,Keterangan:,Heels:",Warna:,Ungu ,",Bahan:",CanvasKom,",Ukuran:",22x2x12,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,249.jpg,249.jpg,249,.jpg,1
250,SFL 127,SFL 127,101232,84360,"Warna:Biru,Bahan:Jeans,Ukuran:20x4x10,Keterangan:,Heels:",Warna:,Biru,",Bahan:",Jeans,",Ukuran:",20x4x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,250.jpg,250.jpg,250,.jpg,1
251,SFL 711,SFL 711,90864,75720,"Warna:Coklat,Bahan:Pvc,Ukuran:18x2x9,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Pvc,",Ukuran:",18x2x9,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,251.jpg,251.jpg,251,.jpg,1
252,SDY 451,SDY 451,88848,74040,"Warna:Ungckl,Bahan:Pvc,Ukuran:18x2x9,Keterangan:,Heels:",Warna:,Ungckl,",Bahan:",Pvc,",Ukuran:",18x2x9,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,252.jpg,252.jpg,252,.jpg,1
253,SFL 903,SFL 903,98784,82320,"Warna:Merah,Bahan:Ferari,Ukuran:9x2x18,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Ferari,",Ukuran:",9x2x18,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,253.jpg,253.jpg,253,.jpg,1
254,SFL 350 ,SFL 350 ,101232,84360,"Warna:Coklat ,Bahan:Crocodile,Ukuran:20x3x10,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",Crocodile,",Ukuran:",20x3x10,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,254.jpg,254.jpg,254,.jpg,1
255,SAP  989,SAP  989,144576,120480,"Warna:Coklat ,Bahan:CanvasKom,Ukuran:22x2x12,Keterangan:,Heels:",Warna:,Coklat ,",Bahan:",CanvasKom,",Ukuran:",22x2x12,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,255.jpg,255.jpg,255,.jpg,1
256,SAP 941,SAP 941,173232,144360,"Warna:Merah Bata,Bahan:PVc,Ukuran:22x3x11,Keterangan:,Heels:",Warna:,Merah Bata,",Bahan:",PVc,",Ukuran:",22x3x11,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,256.jpg,256.jpg,256,.jpg,1
257,SAP 881,SAP 881,173232,144360,"Warna:CLktsc,Bahan:Pvc,Ukuran:22x3x12,Keterangan:,Heels:",Warna:,CLktsc,",Bahan:",Pvc,",Ukuran:",22x3x12,",Keterangan:",,",Heels:",,instock,1,Tas->Tas Wanita,257.jpg,257.jpg,257,.jpg,1
