No ,Kode ,Title,Harga 20%,Harga Dasar,Deskripsi Pendek,,Warna ,,Bahan ,,Ukuran ,,Keterangan,,Heels,stok,Berat,Kategori,Featured Image,Gambar ,,,stock
30,SNS 908,SNS 908,256560,213800,"Warna:Maroon,Bahan:Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,30.jpg,30.jpg,30,.jpg,1
31,SHJ 095,SHJ 095,224880,187400,"Warna:Pink Kombinasi,Bahan:Sifon-Jersey,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Pink Kombinasi,",Bahan:",Sifon-Jersey,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,31.jpg,31.jpg,31,.jpg,1
32,SNS 689,SNS 689,256560,213800,"Warna:Pink,Bahan:Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,32.jpg,32.jpg,32,.jpg,1
33,SSL 157,SSL 157,240120,200100,"Warna:Coklat Kombinasi,Bahan:Kelly-Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Coklat Kombinasi,",Bahan:",Kelly-Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,33.jpg,33.jpg,33,.jpg,1
34,SFT 543,SFT 543,276720,230600,"Warna:Biru,Bahan:Hycon-Spandek,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Biru,",Bahan:",Hycon-Spandek,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,34.jpg,34.jpg,34,.jpg,1
35,SNS 692,SNS 692,246960,205800,"Warna:Hijkng,Bahan:Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Hijkng,",Bahan:",Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,35.jpg,35.jpg,35,.jpg,1
36,SHJ 299,SHJ 299,165000,137500,"Warna:Coklat,Bahan:Cotton,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Cotton,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,36.jpg,36.jpg,36,.jpg,1
37,SPX 060,SPX 060,213480,177900,"Warna:Pink Abu,Bahan:Spandek,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Pink Abu,",Bahan:",Spandek,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,37.jpg,37.jpg,37,.jpg,1
38,SNS 922,SNS 922,228960,190800,"Warna:Hijau Abu,Bahan:Spandek,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Hijau Abu,",Bahan:",Spandek,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,38.jpg,38.jpg,38,.jpg,1
39,SLF 244,SLF 244,180600,150500,"Warna:Abu,Bahan:Denim,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Denim,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,39.jpg,39.jpg,39,.jpg,1
