No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
48,SRT 021,SRT 021," 	144,960 "," 	120,800 ",warna:,Coklat Hijau,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
49,SLR 871,SLR 871," 	237,600 "," 	198,000 ",warna:,Biru Merah,",",Bahan:,Jeans,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
50,SLR 371,SLR 371," 	195,600 "," 	163,000 ",warna:,Pink,",",Bahan:,Denim,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
51,SAT 378,SAT 378," 	190,440 "," 	158,700 ",warna:,Orange Cream,",",Bahan:,Spandek,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
52,SIR 674,SIR 674," 	318,720 "," 	265,600 ",warna:,Hijau,",",Bahan:,Hycon,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
53,SFT 146,SFT 146," 	302,640 "," 	252,200 ",warna:,Abu,",",Bahan:,Hycon,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
54,SNS 784,SNS 784," 	273,600 "," 	228,000 ",warna:,Pink,",",Bahan:,Jersey,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
55,SNS 806,SNS 806," 	273,600 "," 	228,000 ",warna:,Merah,",",Bahan:,Jersey,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
56,SSL 078,SSL 078," 	159,360 "," 	132,800 ",warna:,Orange,",",Bahan:,Cotton,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
57,SSL 045,SSL 045," 	170,160 "," 	141,800 ",warna:,Orange,",",Bahan:,Cotton,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
58,SSL 049,SSL 049," 	159,360 "," 	132,800 ",warna:,Abu,",",Bahan:,Cotton,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
59,SSL 583,SSL 583," 	170,160 "," 	141,800 ",warna:,Abu,",",Bahan:,Cotton,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
60,SSK 360,SSK 360," 	173,280 "," 	144,400 ",warna:,Maroon,",",Bahan:,Kelly,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
61,SSK 400,SSK 400," 	164,640 "," 	137,200 ",warna:,Maroon,",",Bahan:,Kelly,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
62,SDL 920,SDL 920," 	162,960 "," 	135,800 ",warna:,Hitam,",",Bahan:,Kelly,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
63,SDL 473,SDL 473," 	171,480 "," 	142,900 ",warna:,Hitam,",",Bahan:,Kelly,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
